question,option,answer,,,
"___ is one of the keys to leadership effectiveness. We want realness in the executive suite, in the superintendent¡¯s office, and in our religious leaders. We yearn for leaders who are themselves rather than a copy of someone else. We want leaders who will be fully human with us, men and women who are vulnerable enough to acknowledge their strengths and weaknesses, their gifts and limits, and who are appropriately transparent about their hopes and fears, their motivations and their agendas. We trust leaders who are real, who walk their talk, who act on their core values, and who tell us the truth. We authorize others to lead who author their own life. Those we deem not trustworthy we don¡¯t authorize to lead.","Authenticity, Tolerance, Dedication, Compassion, Responsibility",Authenticity,,,
"Recent research by Juliet Zhu and J. J. Argo suggests that making subtle changes to the seating arrangements in meetings can have an effect on what people choose to focus their attention on. For example, the study found that circular seating arrangements typically activated people¡¯s need to belong. As a result, they were more likely to focus on the group¡¯s collective objectives and be persuaded by messages and proposals that highlighted group benefits rather than benefits to any one individual. This effect was reversed, however, when the seating arrangement was either angular (think L¡©shaped) or square. These seating arrangements tended to activate people¡¯s need for ___. As a result, people were more responsive and reacted more favorably to messages and proposals that were self¡©oriented and that allowed them to elevate their individualism.","uniqueness, safety, certainty, harmony, fairness",uniqueness,,,
"In an astonishing example of how nurturing can influence nature, there is considerable evidence confirming that how parents emotionally respond to their children can encourage or suppress genetic tendencies. Biology is not destiny, so gene expression is not necessarily inevitable. To produce their effects, genes must be turned on. ___, shyness is a trait that seems to be partially hereditary. If parents are overprotective of their shy young daughter, the toddler is likely to remain shy. However, if they encourage her to interact with other toddlers, she may overcome it. Thus, genetic tendencies toward intelligence, sociability, and aggression can be stimulated, controlled, or suppressed by parental response and other environmental influences.","For example, Nevertheless, Furthermore, In fact, As a result",For example,,,
"In an astonishing example of how nurturing can influence nature, there is considerable evidence confirming that how parents emotionally respond to their children can encourage or suppress genetic tendencies. Biology is not destiny, so gene expression is not necessarily inevitable. To produce their effects, genes must be turned on. For example, shyness is a trait that seems to be partially hereditary. If parents are overprotective of their shy young daughter, the toddler is likely to remain shy. However, if they encourage her to interact with other toddlers, she may overcome it. ___, genetic tendencies toward intelligence, sociability, and aggression can be stimulated, controlled, or suppressed by parental response and other environmental influences.","Thus, However, Similarly, However, But",Thus,,,
"In psychology, a ¡®model¡¯ of something should never be taken as an exact copy of the thing being described, but rather as a representation of it. A map of the London Underground, for example, is a representation of the Underground layout that helps us appreciate how it works and where it goes. Of course direction, scale, etc. must be distorted somewhat to make it all fit neatly on the page. A model of memory is also a representation. Based on the evidence available, a model provides us with an analogy of how memory works. Describing memory in terms of ¡®stores¡¯ or ¡®levels¡¯ or ¡®loops¡¯ makes our understanding more concrete, and simply conveys to a reader a(n) ___ of how a particular psychologist has attempted to understand and explain the available evidence. These models change as the available evidence changes, so should not be seen as permanent fixtures.","approximate idea, factual experience, invariable principle, digital representation, undisputed interpretation",approximate idea,,,
"We tend not to notice how many creative tasks benefit from constraints because they are built¡¡in and have become invisible. For example, almost all popular music is in 4/4 time, four beats in the bar, with the emphasis usually landing on the first beat. Tracks are normally three or four minutes in length, contain a chorus, and so on. These are just a few constraints of many that popular music follows, and yet look at the variation that can be achieved. Many songs break these rules, but they often achieve their effects because there is a rule to break in the first place. Painters, writers, artists, and so on are all influenced by previous styles to various degrees and it¡¯s these previous styles that provide constraints. The very limitations we impose on ourselves can be ___. ","the inherent cultural beliefs, the resistance to taking risks, the seeds of our finest creations, the obstacles to our future success, the stepping stone for music education",the seeds of our finest creations,,,
"For almost every location in the world, there is an ¡°optimal¡± temperature at which deaths are the lowest. On either side of this temperature ? both when it gets colder and warmer ? death rates increase. ___, what the optimal temperature is is a different issue. If you live in Helsinki, your optimal temperature is about 59¡ÆF, whereas in Athens you do best at 75¡ÆF. The important point to notice is that the best temperature is typically very similar to the average summer temperature.Thus, the actual temperature will only rarely go above the optimal temperature, but very often it will be below. In Helsinki, the optimal temperature is typically exceeded only 18 days per year, whereas it is below that temperature a full 312 days. Research shows that although 55 extra people die each year from it being too hot in Helsinki, some 1,655 people die from it being too cold. ","However, In addition, For instance, For example, Otherwise",However,,,
"From a broad range of early cultures, extending back to about a million years, natural objects began to be used as tools and implements to supplement or enhance the capacities of the hand. ___, the hand is capable of clawing soil to dig out an edible root, but a digging stick or clam shell is also capable of being grasped to do the job more easily, in a sustainable manner, reducing damage to fingers and nails. The task is made easier still if a shell is tied with fiber at a right angle to the end of a stick, to make a simple hoe. It can then be used more effectively in wider circles from an erect working position. Similarly, the hand can be cupped in order to drink water, but a deep shell forms the same shape permanently and more effectively to function without leakage as a dipper. ","For example, In other words, in constrast, However, But",For example,,,
"From a broad range of early cultures, extending back to about a million years, natural objects began to be used as tools and implements to supplement or enhance the capacities of the hand. For example, the hand is capable of clawing soil to dig out an edible root, but a digging stick or clam shell is also capable of being grasped to do the job more easily, in a sustainable manner, reducing damage to fingers and nails. The task is made easier still if a shell is tied with fiber at a right angle to the end of a stick, to make a simple hoe. It can then be used more effectively in wider circles from an erect working position. ___, the hand can be cupped in order to drink water, but a deep shell forms the same shape permanently and more effectively to function without leakage as a dipper. ","Similarly, As a result, However, Instead, In addition",Similarly,,,
"In an increasingly globalized world, literature in translation has an especially important role. Increasingly, writers, readers, and publishers are turning to literature as a bridge between cultures, particularly Western and Arab societies. This growing interest is, in turn, driving a boom in translation. However, not surprisingly perhaps, most translations are from English into other languages, not from another language, such as Arabic, into English. Hence, the huge American market is seen as driving the ___. Bookstores in the United States, for example, rarely stock more than Nobel Prize winner Naguib Mahfouz¡¯s Cairo Trilogy, a masterful, realistic account of life in Cairo and of a merchant family in the mid-20th century. Western readers likely know little of Mahfouz¡¯s more experimental work, his political and religious allegories, or his historical dramas. The result is a kind of one-way mirror between America and the rest of the world. ","equality, diversity, interaction, imbalance, uncertainty ",imbalance,,,
"For almost every location in the world, there is an ¡°optimal¡± temperature at which deaths are the lowest. On either side of this temperature ? both when it gets colder and warmer ? death rates increase. However, what the optimal temperature is is a different issue. If you live in Helsinki, your optimal temperature is about 59¡ÆF, whereas in Athens you do best at 75¡ÆF. The important point to notice is that the best temperature is typically very similar to the average summer temperature. ___, the actual temperature will only rarely go above the optimal temperature, but very often it will be below. In Helsinki, the optimal temperature is typically exceeded only 18 days per year, whereas it is below that temperature a full 312 days. Research shows that although 55 extra people die each year from it being too hot in Helsinki, some 1,655 people die from it being too cold. ","Thus, Otherwise, Instead, Similarly, That is",Thus,,,
"In a classic experiment from 1972, participants were divided into two groups. The members of the first group were told that they would receive a small electric shock. In the second group, subjects were told that the risk of this happening was only 50 percent. The researchers measured physical anxiety (heart rate, nervousness, sweating, etc.) shortly before starting. The result was, well, shocking: There was absolutely no difference. Participants in both groups were equally stressed. Next, the researchers announced a series of reductions in the probability of a shock for the second group: from 50 percent to 20 percent, then 10 percent, then 5 percent. The result: still no difference! However, when they declared they would increase the strength of the expected current, both groups¡¯ anxiety levels rose ? again, by the same degree. This illustrates that we respond to the expected magnitude of an event, but not to its ___. ","utility, source, novelty, likelihood, duration",likelihood,,,
"Problems can be distinguished according to whether they are reasonable or unreasonable. Reasonable problems are of the kind that can be solved in a step-by-step manner. A crossword puzzle is of this nature. Given a sufficient vocabulary, the empty spaces can be filled in one by one. Unreasonable problems, ___, cannot be treated this way because the task contains some ¡®trick¡¯ or ¡®catch¡¯ that must be understood before someone can arrive at a solution. This feature frustrates any step-by-step process that proceeds without the realization that ¡°things aren¡¯t what they seem.¡± Hence, successful problem solving in these cases requires that the person acquire an insight into the nature of the trick. Riddles provide commonplace instances of such insight problems, such as the classic riddle that the Sphinx posed to Oedipus. ","in contrast, for example, in addition, nevertheless, for instance",in contrast,,,
"Problems can be distinguished according to whether they are reasonable or unreasonable. Reasonable problems are of the kind that can be solved in a step-by-step manner. A crossword puzzle is of this nature. Given a sufficient vocabulary, the empty spaces can be filled in one by one. Unreasonable problems, in contrast, cannot be treated this way because the task contains some ¡®trick¡¯ or ¡®catch¡¯ that must be understood before someone can arrive at a solution. This feature frustrates any step-by-step process that proceeds without the realization that ¡°things aren¡¯t what they seem.¡± ___, successful problem solving in these cases requires that the person acquire an insight into the nature of the trick. Riddles provide commonplace instances of such insight problems, such as the classic riddle that the Sphinx posed to Oedipus. ","Hence, Nevertheless, Besides, But, Yet",Hence,,,
"One unspoken truth about creativity ¡ª it isn¡¯t about wild talent so much as it is about ___. To find a few ideas that work, you need to try a lot that don¡¯t. It¡¯s a pure numbers game. Geniuses don¡¯t necessarily have a higher success rate than other creators; they simply do more ¡ª and they do a range of different things. They have more successes and more failures. That goes for teams and companies too. It¡¯s impossible to generate a lot of good ideas without also generating a lot of bad ideas. The thing about creativity is that at the outset, you can¡¯t tell which ideas will succeed and which will fail. So the only thing you can do is try to fail faster so that you can move onto the next idea. ","sensitivity, superiority, imagination, productivity, achievement",productivity,,,
"One characteristic of people who have achieved peace of mind is their independence. They trust their instincts. Nobody can tell them what to think if their inner voices say otherwise. Brendan O¡¯Regan tells about a doctoral student  who placed an ad in an Idaho newspaper asking if anyone within a 300¡©mile radius had experienced a remission. Twenty¡©five people replied. She noticed that many of them were farmer¡¯s wives who had in common a strong faith in ___. When she asked one of her interview subjects how she had felt when the doctor told her she had a terminal illness, the woman simply said, ¡°I figured that was his opinion. We¡¯re used to being told all these things by all these experts from the federal government who come in and look at the soil. They say ¡®Don¡¯t plant corn over there because it won¡¯t grow,¡¯ and you plant it and it grows beautifully. So you realize the experts don¡¯t know everything. When the doctor told me I was going to die in six months, I said ¡®What does he know, he¡¯s only an expert!¡¯¡±","their own judgment, their land and home, medical development, social security system, agricultural technology",their own judgment,,,
"In a study of complimenting behavior in American English, researchers discovered that one of the most striking features of compliments in American English is ___. An initial examination of a large corpus revealed surprising repetitiveness in both the object of the compliments and the lexical items used to describe them. On closer investigation, it was discovered that regularities exist on all levels and that compliments are in fact formulas. We may categorize 80% of all compliments in the data as adjectival in that they depend on an adjective for their positive semantic value. In all, some seventy?two positive adjectives occur in the data. What is striking, however, is that of these seventy?two adjectives only five (nice, good, beautiful, pretty and great) are used with any frequency. While most adjectives occur only once or twice in the data, these five adjectives occur with such frequency that of all adjectival compliments in the corpus two thirds make use of only five adjectives. ","the foreign sounding qualities, frequently misused adjectives, repetition of pitch patterns, an inherent ambiguity in meaning, the almost total lack of originality ",the almost total lack of originality,,,
"Once most Americans got their water only from the tap. Now they often buy their water in bottles. But bottled water costs 80 cents to $4.00 per gallon, while tap water costs only pennies per day. Is the extra expense worth it? Although the FDA sets regulations specifically for bottled water to ensure that it is safe, the Environmental Protection Agency¡¯s standards for tap water are actually higher. ___, bottled water is permitted to contain certain amounts of any bacteria. Tap water, in contrast, cannot contain any of the dangerous bacteria. Also, there are no federal filtration or disinfection requirements for bottled water, as there are for tap water. The chlorine used to treat tap water continues to kill harmful bacteria, while bottled water contains no such disinfectant to prevent bacterial growth. Furthermore, tap water is actually healthier in some respects. It usually contains fluoride, along with other minerals ¡ª such as calcium and iron ¡ª that are beneficial to the body.","For example, Nevertheless, In other words, Similarly, Consequently",For example,,,
"Once most Americans got their water only from the tap. Now they often buy their water in bottles. But bottled water costs 80 cents to $4.00 per gallon, while tap water costs only pennies per day. Is the extra expense worth it? Although the FDA sets regulations specifically for bottled water to ensure that it is safe, the Environmental Protection Agency¡¯s standards for tap water are actually higher. For example, bottled water is permitted to contain certain amounts of any bacteria. Tap water, in contrast, cannot contain any of the dangerous bacteria. Also, there are no federal filtration or disinfection requirements for bottled water, as there are for tap water. The chlorine used to treat tap water continues to kill harmful bacteria, while bottled water contains no such disinfectant to prevent bacterial growth. ___, tap water is actually healthier in some respects. It usually contains fluoride, along with other minerals ¡ª such as calcium and iron ¡ª that are beneficial to the body.","Furthermore, On the contrary, Consequently, Similarly, However",Furthermore,,,
"Early human societies were nomadic, based on hunting and gathering, and, in a shifting pattern of life in search of new sources of food, qualities such as lightness, portability, and adaptability were dominant criteria. With the evolution of more settled rural societies based on agriculture, other characteristics, other traditions of form appropriate to the new patterns of life, rapidly emerged. It must be emphasized, however, that tradition was not static, but constantly subject to minute variations appropriate to people and their circumstances. Although traditional forms reflected the experience of social groups, specific manifestations could be adapted in various minute and subtle ways to suit individual users¡¯ needs. A chair could keep its basic, accepted characteristics while still being closely shaped in detail to the physique and proportions of a specific person. This basic principle of ___ allowed a constant stream of incremental modifications to be introduced, which, if demonstrated by experience to be advantageous, could be integrated back into the mainstream of tradition. ","dedication, customization, cooperation, generalization, preservation",customization,,,
"It is important to note that the primary goal of the professional athlete as well as many adults winning ? is far less important to children. In one of our own studies, we found that teams¡¯ won¡©lost records had nothing to do with how much young athletes liked their coaches or with their desire to play for the same coaches again. Interestingly, however, success of the team was related to how much the children thought their parents liked their coaches. The children also felt that the won¡©lost record influenced how much their coaches liked them. It appears that, even at very young ages, children begin to tune in to the ___ on winning, even though they do not yet share it themselves. What children do share is a desire to have fun!","peer pressure, adult emphasis, critical research, financial reliance, teamwork influence",adult emphasis,,,
"It is easy to find examples of correlations which are far more systematic than could occur by chance and yet which it would be absurd to treat as evidence of a direct causal link. For instance, there is a high degree of correlation between shoe size and vocabulary size: people with larger shoe sizes tend to have much larger vocabularies than people with smaller shoe sizes. But having larger feet does not cause anyone to gain a larger vocabulary; nor does having a large vocabulary cause your feet to grow. The obvious explanation of the correlation is that children tend to have much smaller feet than adults, and, because children acquire their vocabularies gradually as they grow older, it is hardly surprising that, on average, people with smaller feet have smaller vocabularies. In other words, foot size and vocabulary size can be explained in terms of ___ from infancy to adulthood: a cause which both observed phenomena have in common. ","by-products of language acquisition, causal links between uncommon events, contrasts between physical and mental growth, cultural beliefs derived from social interactions, features of the process of human development",features of the process of human development,,,
"Hardly any discovery is possible without making use of knowledge gained by others. The vast store of scientific knowledge which is today available could never have been built up if scientists did not pool their contributions. The publication of experimental results and observations so that they are available to others and open to criticism is one of the fundamental principles on which modern science is based. ___ is contrary to the best interests and spirit of science. It prevents the individual from contributing to further progress; it usually means that he or his employer is trying to exploit for their own gain some advance made by building on the knowledge which others have freely given. Much research is carried out in secret in industry and in government war departments. This seems to be inevitable in the world as it is today, but it is nevertheless wrong in principle. Ideally, freedom to publish should be a basic right of all research workers.","Secrecy, Imitation, Hesitancy, Popularity, Generosity",Secrecy,,,
"Hands are in fact used for typing in two senses of the word: We use fingers to write words with keyboards, and we also use them as input for ___. We can often tell what type of person we are viewing by looking at his or her hands. In this way, hands communicate identity. Consider gender. One¡¯s hands can indicate whether a person is masculine or feminine by use of culturally specific gender markers such as long nails, nail polish, or gendered jewelry. In India, henna paintings are made on the hands of a bride who is about to be married. In many cultures, a ring indicates marital status. Rings may also indicate personal interests, taste, and subculture. A skull ring may say ¡°rocker,¡± a class ring may say ¡°college graduate,¡± and a cross on one¡¯s ring may say ¡°Christian.¡± Ostentatiously jeweled rings can also convey financial wealth.","medical diagnosis, social classification, creative expression, irrational judgement, psychological evaluation",social classification,,,
"Although most people, including Europe¡¯s Muslims, have numerous identities, few of these are politically salient at any moment. It is only when a political issue affects the welfare of those in a particular group that ___. For instance, when issues arise that touch on women¡¯s rights, women start to think of gender as their principal identity. Whether such women are American or Iranian or whether they are Catholic or Protestant matters less than the fact that they are women. Similarly, when famine and civil war threaten people in sub-Saharan Africa, many African-Americans are reminded of their kinship with the continent in which their ancestors originated centuries earlier, and they lobby their leaders to provide humanitarian relief. In other words, each issue calls forth somewhat different identities that help explain the political preferences people have regarding those issues.","identity assumes importance, religion precedes identity, society loses stability, society supports diversity, nationality bears significance",identity assumes importance,,,
"One of the most satisfactory aspects of using essential oils medicinally and cosmetically is that they enter and leave the body with great efficiency, leaving no toxins behind. The most effective way to use essential oils is not orally, as one might think, but by external application or inhalation. The methods used include body oils, compresses, cosmetic lotions, baths, hair rinses, inhalation (by steam, direct from the bottle or from a tissue), perfumes, room sprays, and a whole range of room methods. Although under supervision the essential oils can be prescribed for oral ingestion, this is in fact their least effective mode of entry because it involves their passing through the digestive system, where they come into contact with digestive juices and other matter which affect their chemistry. This limitation also applies to any chemical medications. The ___ makes the essential oils of special benefit to patients whose digestive systems have, for whatever reason, been impaired. ","mood¡©enhancing ability, flexibility of medicinal use, condensed nutritional value, stability at room temperature, complex composition of aromas",flexibility of medicinal use,,,
"In the 20th century, average life expectancy in the United States rose by nearly 30 years. The vast majority of that increase is credited to advances in public health, rather than advances in medical care, and ___ played a critical role in these advances. For example, requirements that children be vaccinated before they attend school played a central role in reducing occurrence of vaccine¡©preventable diseases. Smallpox and polio, which were once feared and deadly diseases, were eliminated from the Western Hemisphere (with smallpox eliminated worldwide), while the number of new measles cases dropped from more than 300,000 in 1950 to fewer than 100 in 2000. Likewise, following the introduction of extensive vehicle and roadway safety laws starting in the mid¡©1960s, the number of highway deaths decreased from roughly 51,000 in 1966 to 42,000 in 2000, even as the number of miles driven per year increased nearly 300%.","birth control, balanced diets, early diagnosis, scientific research, legal interventions",legal interventions,,,
"The skeletons found in early farming villages in the Fertile Crescent are usually shorter than those of neighboring foragers, which suggests that their diets were less varied. Though farmers could produce more food, they were also more likely to starve, because, unlike foragers, they relied on a small number of crops, and if those crops failed, they were in serious trouble. The bones of early farmers show evidence of vitamin deficiencies, probably caused by regular periods of starvation between harvests. They also show signs of stress, associated, perhaps, with the intensive labor required for plowing, harvesting crops, felling trees, maintaining buildings and fences, and grinding grains. Villages also produced refuse, which attracted vermin, and their populations were large enough to spread diseases that could not have survived in smaller, more nomadic foraging communities. All this evidence of ___ suggests that the first farmers were pushed into the complex and increasingly interconnected farming lifeway rather than pulled by its advantages.","declining health, fading authority, weakening kinship, expanding hierarchy, prevailing immorality",declining health ,,,
"Some people have defined wildlife damage management as the science and management of overabundant species, but this definition is too narrow. All wildlife species act in ways that harm human interests. Thus, all species cause wildlife damage, not just overabundant ones. One interesting example of this involves endangered peregrine falcons in California, which prey on another endangered species, the California least tern. Certainly, we would not consider peregrine falcons as being overabundant, but we wish that they would not feed on an endangered species. In this case, one of the negative values associated with a peregrine falcon population is that its predation reduces the population of another endangered species. The goal of wildlife damage management in this case would be to stop the falcons from eating the terns without ___ the falcons. ","cloning , harming , training , overfeeding, domesticating 
",harming,,,
"A term like social drinker was itself what we might call ¡°socially constructed.¡± When a social drinker was caught driving drunk, it was seen as a single instance of bad judgment in an otherwise exemplary life, but this was rarely the case. Experts liked to point out that persons caught driving drunk for the first time had probably done so dozens of times before without incident. The language chosen to characterize these particular individuals, however, reflected the ___ way that society viewed them. The same could be said for the word accident, which was the common term used to describe automobile crashes well into the 1980s. An accident implied an unfortunate act of God, not something that could ¡ª or should ¡ª be prevented. ","forgiving, objective, degrading, unwelcome, praiseworthy",forgiving,,,
"When you begin to tell a story again that you have retold many times, what you retrieve from memory is the index to the story itself. That index can be embellished in a variety of ways. Over time, even the embellishments become standardized. An old man¡¯s story that he has told hundreds of times shows little variation, and any variation that does exist becomes part of the story itself, regardless of its origin. People add details to their stories that may or may not have occurred. They are recalling indexes and reconstructing details. If at some point they add a nice detail, not really certain of its validity, telling the story with that same detail a few more times will ensure its permanent place in the story index. In other words, the stories we tell time and again are ___ to the memory we have of the events that the story relates. ","identical, beneficial, alien, prior, neutral",identical,,,
"The developmental control that children with certain serious medical problems can exert over their physical activity is relevant to ___. For example, an infant in a crib and a cognitively intact 14¡©year¡©old confined to bed due to illness or injury may both be relatively inactive. The adolescent can, however, be expected to have more awareness of and control over movements such as rolling over that might dislodge or otherwise impair the functioning of a medical device such as a breathing tube or feeding tube. Likewise, a 5¡©year¡©old and a 25¡©year¡©old who have had a cardiac pacemaker implanted may each know that they need to protect the device, but developmental differences in the understanding of risk and causation and in the control of impulses increase the probability of risky behavior by the child, for example, jumping off a porch.","device safety, mental health, pain reactions, athletic training, medical diagnoses",device safety,,,
"New media can be defined by four characteristics simultaneously: they are media at the turn of the 20th and 21st centuries which are both integrated and interactive and use digital code and hypertext as technical means. It follows that their most common alternative names are multimedia, interactive media and digital media. By using this definition, it is easy to identify media as old or new. ___, traditional television is integrated as it contains images, sound and text, but it is not interactive or based on digital code. The plain old telephone was interactive, but not integrated as it only transmitted speech and sounds and it did not work with digital code. In contrast, the new medium of interactive television adds interactivity and digital code. Additionally, the new generations of mobile or fixed telephony are fully digitalized and integrated as they add text, pictures or video and they are connected to the Internet.","For example, Nevertheless, Therefore, Nevertheless, So",For example,,,
"New media can be defined by four characteristics simultaneously: they are media at the turn of the 20th and 21st centuries which are both integrated and interactive and use digital code and hypertext as technical means. It follows that their most common alternative names are multimedia, interactive media and digital media. By using this definition, it is easy to identify media as old or new. For example, traditional television is integrated as it contains images, sound and text, but it is not interactive or based on digital code. The plain old telephone was interactive, but not integrated as it only transmitted speech and sounds and it did not work with digital code. In contrast, the new medium of interactive television adds interactivity and digital code. ___, the new generations of mobile or fixed telephony are fully digitalized and integrated as they add text, pictures or video and they are connected to the Internet.","Additionally, In other words, Consequently, However, Instead",Additionally,,,
"When two cultures come into contact, they do not exchange every cultural item. If that were the case, there would be no cultural differences in the world today. Instead, only a small number of cultural elements ever spread from one culture to another. Which cultural item is accepted depends largely on the item¡¯s use and compatibility with already existing cultural traits. For example, it is not likely that men¡¯s hair dyes designed to ¡°get out the gray¡± will spread into parts of rural Africa where a person¡¯s status is elevated with advancing years. Even when an ___ is consistent with a society¡¯s needs, there is still no guarantee that it will be accepted. For example, most people in the United States using US customary units (e.g., inch, foot, yard, mile, etc.) have resisted adopting the metric system even though making such a change would enable US citizens to interface with the rest of the world more efficiently. ","categorization, innovation, investigation, observation, specification",innovation,,,
"The creativity that children possess needs to be cultivated throughout their development. Research suggests that overstructuring the child¡¯s environment may actually limit creative and academic development. This is a central problem with much of science instruction. The exercises or activities are devised to eliminate different options and to focus on predetermined results. The answers are structured to fit the course assessments, and the wonder of science is lost along with cognitive intrigue. We define cognitive intrigue as the wonder that stimulates and intrinsically motivates an individual to voluntarily engage in an activity. The loss of cognitive intrigue may be initiated by the sole use of play items with predetermined conclusions and reinforced by rote instruction in school. This is exemplified by toys, games, and lessons that are an ___ in and of themselves and require little of the individual other than to master the planned objective. ","end, input, puzzle, interest, alternative ",end,,,
"Finkenauer and Rim? investigated the memory of the unexpected death of Belgium¡¯s King Baudouin in 1993 in a large sample of Belgian citizens. The data revealed that the news of the king¡¯s death had been widely socially shared. By talking about the event, people gradually constructed a social narrative and a collective memory of the emotional event. At the same time, they consolidated their own memory of the personal circumstances in which the event took place, an effect known as ¡°flashbulb memory.¡± The more an event is socially shared, the more it will be fixed in people¡¯s minds. Social sharing may in this way help to counteract some natural tendency people may have. Naturally, people should be driven to ¡°forget¡± undesirable events. Thus, someone who just heard a piece of bad news often tends initially to deny what happened. The ___ social sharing of the bad news contributes to realism.","biased, illegal, repetitive, temporary, rational",repetitive,,,
"The role of science can sometimes be overstated, with its advocates slipping into scientism. Scientism is the view that the scientific description of reality is the only truth there is. With the advance of science, there has been a tendency to slip into scientism, and assume that any factual claim can be authenticated if and only if the term ¡®scientific¡¯ can correctly be ascribed to it. The consequence is that non-scientific approaches to reality ¡ª and that can include all the arts, religion, and personal, emotional and value-laden ways of encountering the world ¡ª may become labelled as merely subjective, and therefore of little ___ in terms of describing the way the world is. The philosophy of science seeks to avoid crude scientism and get a balanced view on what the scientific method can and cannot achieve. ","question, account, controversy, variation, bias",account ,,,
